id_planta,nombre,anillo,pct_bosque,pct_agricola,pct_urbano,pct_agua
1,Mayorca Solar|AES Panamá,0_500m,7.7,90.0,2.3,0.0
1,Mayorca Solar|AES Panamá,500_1000m,10.5,86.6,2.8,0.0
1,Mayorca Solar|AES Panamá,1000_2000m,7.9,91.7,0.4,0.0
2,Planta Solar PSZ1,0_500m,18.4,67.9,13.7,0.0
2,Planta Solar PSZ1,500_1000m,11.0,86.2,2.7,0.0
2,Planta Solar PSZ1,1000_2000m,9.5,87.6,2.8,0.0
3,Los Ángeles,0_500m,2.9,76.0,20.9,0.0
3,Los Ángeles,500_1000m,8.2,85.1,6.2,0.0
3,Los Ángeles,1000_2000m,9.9,88.1,2.0,0.0
4,Planta solar sin nombre 1,0_500m,2.2,96.7,1.1,0.0
4,Planta solar sin nombre 1,500_1000m,12.9,86.5,0.3,0.2
4,Planta solar sin nombre 1,1000_2000m,29.7,69.0,1.1,0.2
5,Argentum Solar,0_500m,46.8,49.5,3.7,0.0
5,Argentum Solar,500_1000m,41.2,51.7,7.0,0.0
5,Argentum Solar,1000_2000m,43.3,56.6,0.1,0.0
6,Oro Solar,0_500m,4.0,95.8,0.0,0.0
6,Oro Solar,500_1000m,16.2,83.5,0.2,0.0
6,Oro Solar,1000_2000m,18.7,79.7,0.6,0.6
7,Chupampa solar atalaya,0_500m,46.6,9.5,43.8,0.0
7,Chupampa solar atalaya,500_1000m,41.3,45.0,13.4,0.0
7,Chupampa solar atalaya,1000_2000m,42.2,53.8,3.9,0.0
8,Parque Fotovoltaico Paris,0_500m,37.9,46.4,8.6,0.0
8,Parque Fotovoltaico Paris,500_1000m,25.8,69.0,3.3,0.4
8,Parque Fotovoltaico Paris,1000_2000m,30.5,67.3,2.1,0.0
9,Parque Solar Sarigua - Egesa,0_500m,81.7,0.0,0.0,18.3
9,Parque Solar Sarigua - Egesa,500_1000m,78.0,0.4,0.0,19.1
9,Parque Solar Sarigua - Egesa,1000_2000m,65.8,2.5,0.0,25.7
10,Planta fotovoltaica,0_500m,24.5,75.5,0.0,0.0
10,Planta fotovoltaica,500_1000m,43.4,53.5,3.0,0.1
10,Planta fotovoltaica,1000_2000m,50.3,45.9,3.6,0.2
11,Jagüito Solar,0_500m,13.1,72.1,11.0,0.0
11,Jagüito Solar,500_1000m,23.9,66.4,9.0,0.0
11,Jagüito Solar,1000_2000m,28.3,59.9,9.1,0.8
12,Planta Solar Don Félix,0_500m,13.7,66.6,17.4,0.0
12,Planta Solar Don Félix,500_1000m,32.1,67.3,0.5,0.0
12,Planta Solar Don Félix,1000_2000m,34.7,63.0,1.5,0.6
13,Divisa Solar,0_500m,9.8,69.5,18.8,0.0
13,Divisa Solar,500_1000m,18.8,80.9,0.2,0.0
13,Divisa Solar,1000_2000m,37.1,59.7,2.9,0.0
14,Milton Solar,0_500m,42.1,55.2,2.7,0.0
14,Milton Solar,500_1000m,46.5,50.5,2.8,0.0
14,Milton Solar,1000_2000m,43.3,54.2,0.6,1.4
15,Parque Fotovoltaico Vista Alegre,0_500m,37.8,57.1,4.7,0.0
15,Parque Fotovoltaico Vista Alegre,500_1000m,36.0,59.8,3.8,0.0
15,Parque Fotovoltaico Vista Alegre,1000_2000m,38.3,58.6,2.1,0.4
16,La Mesa,0_500m,27.3,72.7,0.0,0.0
16,La Mesa,500_1000m,33.2,65.9,0.8,0.0
16,La Mesa,1000_2000m,41.9,56.3,1.8,0.0
17,Campo solar,0_500m,23.1,76.8,0.0,0.0
17,Campo solar,500_1000m,45.6,54.4,0.0,0.0
17,Campo solar,1000_2000m,41.1,58.1,0.8,0.0
18,PV Estrella Solar,0_500m,27.1,72.2,0.6,0.0
18,PV Estrella Solar,500_1000m,28.1,71.2,0.7,0.0
18,PV Estrella Solar,1000_2000m,43.3,55.5,1.2,0.0
19,Paneles Solares POCRI,0_500m,24.0,43.3,23.2,0.0
19,Paneles Solares POCRI,500_1000m,29.9,63.8,6.2,0.0
19,Paneles Solares POCRI,1000_2000m,19.9,56.7,22.2,0.1
20,Planta Solar Vista Hermosa 1 y 2,0_500m,23.8,46.2,20.3,0.0
20,Planta Solar Vista Hermosa 1 y 2,500_1000m,29.8,66.2,3.9,0.0
20,Planta Solar Vista Hermosa 1 y 2,1000_2000m,20.6,57.9,20.2,0.1
21,PFV Chiriqui Solar,0_500m,27.3,72.7,0.0,0.0
21,PFV Chiriqui Solar,500_1000m,32.3,67.4,0.2,0.1
21,PFV Chiriqui Solar,1000_2000m,47.6,47.3,2.2,0.0
22,Andrea’s Solar Plant,0_500m,46.1,36.3,17.6,0.0
22,Andrea’s Solar Plant,500_1000m,29.4,66.5,4.1,0.0
22,Andrea’s Solar Plant,1000_2000m,44.7,51.7,2.3,0.9
23,IKAKO III,0_500m,29.2,70.7,0.1,0.0
23,IKAKO III,500_1000m,32.9,65.2,0.0,0.0
23,IKAKO III,1000_2000m,42.9,55.7,0.1,0.8
24,IKAKO II,0_500m,32.1,67.8,0.1,0.0
24,IKAKO II,500_1000m,35.8,63.3,0.2,0.0
24,IKAKO II,1000_2000m,45.1,53.9,0.0,0.4
25,IKAKO I,0_500m,30.0,69.9,0.1,0.0
25,IKAKO I,500_1000m,39.4,59.6,0.2,0.2
25,IKAKO I,1000_2000m,44.9,54.4,0.0,0.1
26,Planta fotovoltaica Ikakos,0_500m,39.6,59.9,0.5,0.0
26,Planta fotovoltaica Ikakos,500_1000m,62.4,36.8,0.0,0.2
26,Planta fotovoltaica Ikakos,1000_2000m,36.2,63.1,0.1,0.0
27,Parque solar Penonomé,0_500m,2.3,73.3,21.9,0.0
27,Parque solar Penonomé,500_1000m,24.8,60.1,14.2,0.0
27,Parque solar Penonomé,1000_2000m,22.0,69.2,2.4,2.6
28,Proyecto fotovoltáico Alma Mater | Universidad de Panamá,0_500m,51.4,48.6,0.0,0.0
28,Proyecto fotovoltáico Alma Mater | Universidad de Panamá,500_1000m,67.1,31.8,1.0,0.0
28,Proyecto fotovoltáico Alma Mater | Universidad de Panamá,1000_2000m,42.0,55.6,2.2,0.2
29,PV Baco Solar,0_500m,32.2,64.1,3.7,0.0
29,PV Baco Solar,500_1000m,31.2,67.7,1.0,0.0
29,PV Baco Solar,1000_2000m,45.0,52.6,0.8,1.0
30,Granja Solar Alanje Uno,0_500m,38.9,48.2,11.3,0.2
30,Granja Solar Alanje Uno,500_1000m,30.2,59.2,7.9,0.7
30,Granja Solar Alanje Uno,1000_2000m,25.6,70.5,3.0,0.3
31,Planta Prudencia Solar,0_500m,13.9,80.6,0.0,5.2
31,Planta Prudencia Solar,500_1000m,24.0,65.0,5.5,4.8
31,Planta Prudencia Solar,1000_2000m,15.8,78.9,2.0,2.8
32,Sol de David,0_500m,31.6,61.0,3.0,0.0
32,Sol de David,500_1000m,39.8,57.4,2.6,0.0
32,Sol de David,1000_2000m,58.1,38.4,1.6,1.5
33,Parque Solar La Esperanza,0_500m,37.8,58.7,1.2,0.0
33,Parque Solar La Esperanza,500_1000m,33.6,64.6,0.8,0.0
33,Parque Solar La Esperanza,1000_2000m,53.3,44.1,1.5,0.8
34,PV Sol Real,0_500m,98.8,0.8,0.3,0.0
34,PV Sol Real,500_1000m,98.6,1.3,0.1,0.0
34,PV Sol Real,1000_2000m,93.7,2.8,3.4,0.0
35,Antón Solar 1,0_500m,20.4,78.7,0.4,0.0
35,Antón Solar 1,500_1000m,26.8,71.2,1.3,0.3
35,Antón Solar 1,1000_2000m,32.9,64.5,0.7,1.0
36,Parque Fotovoltaico,0_500m,44.4,54.5,1.1,0.0
36,Parque Fotovoltaico,500_1000m,59.5,35.2,5.3,0.0
36,Parque Fotovoltaico,1000_2000m,58.9,36.7,3.8,0.6
37,PV Caldera Solar,0_500m,39.8,57.9,2.2,0.0
37,PV Caldera Solar,500_1000m,46.4,47.2,6.4,0.1
37,PV Caldera Solar,1000_2000m,59.7,34.4,3.6,2.0
38,Parque Fotovoltaico AES Caoba Solar,0_500m,36.5,59.7,3.8,0.0
38,Parque Fotovoltaico AES Caoba Solar,500_1000m,64.5,26.8,8.7,0.0
38,Parque Fotovoltaico AES Caoba Solar,1000_2000m,59.4,36.4,3.1,0.9
39,Solar Pro,0_500m,40.9,55.9,3.2,0.0
39,Solar Pro,500_1000m,65.1,26.0,8.8,0.0
39,Solar Pro,1000_2000m,59.5,36.5,3.1,0.8
40,El Fraile Solar I,0_500m,37.2,61.8,1.0,0.0
40,El Fraile Solar I,500_1000m,45.2,54.7,0.1,0.0
40,El Fraile Solar I,1000_2000m,45.7,54.1,0.2,0.0
41,Corotú Solar,0_500m,19.7,74.5,5.8,0.0
41,Corotú Solar,500_1000m,24.7,74.7,0.6,0.0
41,Corotú Solar,1000_2000m,29.4,70.2,0.3,0.0
42,Rodeo Solar,0_500m,68.2,31.4,0.1,0.0
42,Rodeo Solar,500_1000m,67.1,30.9,0.5,0.1
42,Rodeo Solar,1000_2000m,62.3,35.5,0.8,0.1
43,Estí Solar I,0_500m,83.2,15.8,0.9,0.0
43,Estí Solar I,500_1000m,43.9,53.5,2.4,0.1
43,Estí Solar I,1000_2000m,39.9,55.2,4.1,0.7
44,Coclé Solar 1,0_500m,40.3,59.7,0.0,0.0
44,Coclé Solar 1,500_1000m,71.8,27.7,0.6,0.0
44,Coclé Solar 1,1000_2000m,61.6,36.4,1.7,0.0
45,PV Madre Vieja,0_500m,87.5,12.5,0.0,0.0
45,PV Madre Vieja,500_1000m,84.0,15.9,0.1,0.0
45,PV Madre Vieja,1000_2000m,84.1,15.7,0.1,0.1
46,Mendozas Solar,0_500m,20.2,79.4,0.3,0.0
46,Mendozas Solar,500_1000m,31.2,68.4,0.3,0.0
46,Mendozas Solar,1000_2000m,39.5,59.9,0.2,0.1
47,Planta solar pacora 2,0_500m,1.4,97.8,0.0,0.0
47,Planta solar pacora 2,500_1000m,3.4,96.3,0.0,0.0
47,Planta solar pacora 2,1000_2000m,7.2,89.9,0.0,0.5
48,planta de paneles solares,0_500m,13.8,72.6,12.6,0.0
48,planta de paneles solares,500_1000m,29.4,52.5,15.9,0.7
48,planta de paneles solares,1000_2000m,42.8,44.2,9.8,0.0
49,Parque Fotovoltaico San Juan,0_500m,100.0,0.0,0.0,0.0
49,Parque Fotovoltaico San Juan,500_1000m,99.9,0.1,0.0,0.0
49,Parque Fotovoltaico San Juan,1000_2000m,95.8,4.2,0.0,0.0
