id_planta,nombre,anomalia_termica,anomalia_ndvi,nivel_impacto
1,Mayorca Solar|AES Panamá,0.26345859525712306,-0.012932990585862694,Impacto moderado
2,Planta Solar PSZ1,0.09678690239975347,0.00720545309015017,Impacto moderado
3,Los Ángeles,0.13597524493990168,-0.06193676014960197,Impacto moderado
4,Planta solar sin nombre 1,-0.01668442523270386,-0.06601040601486054,Impacto moderado
5,Argentum Solar,0.16391505324561656,-0.007706282509792836,Alto impacto
6,Oro Solar,-0.14577570171985244,-0.00275215453515162,Impacto moderado
7,Chupampa solar atalaya,0.4319573107132995,-0.09035851108434148,Alto impacto
8,Parque Fotovoltaico Paris,0.21113882198403694,-0.04305047927809923,Impacto moderado
9,Parque Solar Sarigua - Egesa,-0.9482442914067002,0.11923462504062206,Bajo impacto
10,Planta fotovoltaica,0.041076209558745296,-0.02232219034569099,Alto impacto
11,Jagüito Solar,0.344941056211007,-0.05366334634727494,Impacto moderado
12,Planta Solar Don Félix,0.30456530696821055,-0.09187114569544905,Impacto moderado
13,Divisa Solar,0.5787265158130245,-0.11043746489727445,Alto impacto
14,Milton Solar,-0.05471171276841856,-0.025003620529229807,Impacto moderado
15,Parque Fotovoltaico Vista Alegre,0.2280092062728067,-0.025999200573337915,Alto impacto
16,La Mesa,0.15289634660068582,-0.004661495937480823,Alto impacto
17,Campo solar,0.033016219149261464,0.004459775575894704,Alto impacto
18,PV Estrella Solar,0.28135725605105627,-0.0318324868793244,Alto impacto
19,Paneles Solares POCRI,-0.346889595927584,-0.007522272970827478,Impacto moderado
20,Planta Solar Vista Hermosa 1 y 2,-0.376427743002682,-0.02107105360939596,Impacto moderado
21,PFV Chiriqui Solar,0.3853727443837123,-0.012961527034234144,Alto impacto
22,Andrea’s Solar Plant,0.27466921607163897,-0.04687272576509633,Alto impacto
23,IKAKO III,0.3609688419202846,-0.0277947145568259,Alto impacto
24,IKAKO II,0.3310277476851929,-0.031246756092190044,Alto impacto
25,IKAKO I,0.2910844773521453,-0.028865197075590716,Alto impacto
26,Planta fotovoltaica Ikakos,0.005952839127617539,0.013941877162065217,Alto impacto
27,Parque solar Penonomé,0.08259573376270726,-0.10029411434168238,Impacto moderado
28,Proyecto fotovoltáico Alma Mater | Universidad de Panamá,-0.595082734237794,0.005762986297627297,Bajo impacto
29,PV Baco Solar,0.4934614926026925,-0.028105447957887338,Alto impacto
30,Granja Solar Alanje Uno,-0.018885962237797167,-0.0011764146135207407,Impacto moderado
31,Planta Prudencia Solar,0.316785456164541,0.01666287606450472,Alto impacto
32,Sol de David,0.6786407571635807,-0.0608680050506869,Alto impacto
33,Parque Solar La Esperanza,0.46892254971197594,-0.05061636101984238,Alto impacto
34,PV Sol Real,-0.10824814535098426,0.01597412513390644,Bajo impacto
35,Antón Solar 1,0.13738310772413698,-0.003936916931079956,Impacto moderado
36,Parque Fotovoltaico,0.23840057099742193,-0.03220451802576063,Alto impacto
37,PV Caldera Solar,0.441246798689761,-0.02708362651153389,Alto impacto
38,Parque Fotovoltaico AES Caoba Solar,0.3012209608942733,-0.04915156073551633,Alto impacto
39,Solar Pro,0.27253054718683956,-0.0450209830187445,Alto impacto
40,El Fraile Solar I,0.6903275836602353,-0.01435134380411943,Alto impacto
41,Corotú Solar,0.07048464861046,-0.036820876257824965,Alto impacto
42,Rodeo Solar,-0.006034702161956419,0.028720926950808554,Alto impacto
43,Estí Solar I,0.2988149295664897,0.040904497376426464,Alto impacto
44,Coclé Solar 1,0.15447529256333375,0.0016195582439986359,Alto impacto
45,PV Madre Vieja,-0.43405437373599604,0.011207144958616347,Bajo impacto
46,Mendozas Solar,0.13164488726302537,-0.028295330728407602,Impacto moderado
47,Planta solar pacora 2,0.1380535015389372,-0.013313081988802338,Impacto moderado
48,planta de paneles solares,-0.09100156640685546,-0.022408870354877135,Impacto moderado
49,Parque Fotovoltaico San Juan,0.03222435084691914,0.004827837748896772,Alto impacto
