id_planta,nombre,latitud,longitud
1,Mayorca Solar|AES Panamá,7.68028,-80.16241
2,Planta Solar PSZ1,7.876,-80.324
3,Los Ángeles,7.8865,-80.3403
4,Planta solar sin nombre 1,7.925333,-80.558611
5,Argentum Solar,7.97882,-81.16162
6,Oro Solar,8.017,-80.5091
7,Chupampa solar atalaya,8.04171,-80.92487
8,Parque Fotovoltaico Paris,8.044387,-80.559554
9,Parque Solar Sarigua - Egesa,8.092682,-80.498997
10,Planta fotovoltaica,8.146194,-81.044611
11,Jagüito Solar,8.17223,-80.6708
12,Planta Solar Don Félix,8.1822,-80.7123
13,Divisa Solar,8.1849,-80.7108
14,Milton Solar,8.188355,-80.731321
15,Parque Fotovoltaico Vista Alegre,8.1904,-80.7228
16,La Mesa,8.2214,-81.317
17,Campo solar,8.2276,-81.3114
18,PV Estrella Solar,8.2511,-81.988
19,Paneles Solares POCRI,8.268194,-80.55295
20,Planta Solar Vista Hermosa 1 y 2,8.2693,-80.5532
21,PFV Chiriqui Solar,8.2702,-82.0022
22,Andrea’s Solar Plant,8.295601,-81.86751
23,IKAKO III,8.368881,-82.351609
24,IKAKO II,8.370957,-82.350461
25,IKAKO I,8.372442,-82.349641
26,Planta fotovoltaica Ikakos,8.377311,-82.34695
27,Parque solar Penonomé,8.3797,-80.38878
28,Proyecto fotovoltáico Alma Mater | Universidad de Panamá,8.381588,-82.33314
29,PV Baco Solar,8.3844,-82.7862
30,Granja Solar Alanje Uno,8.4013,-82.5637
31,Planta Prudencia Solar,8.417457,-82.347302
32,Sol de David,8.4199,-82.8026
33,Parque Solar La Esperanza,8.4201,-82.8077
34,PV Sol Real,8.420663,-82.94492
35,Antón Solar 1,8.4233,-80.1068
36,Parque Fotovoltaico,8.441,-82.839
37,PV Caldera Solar,8.4423,-82.8344
38,Parque Fotovoltaico AES Caoba Solar,8.4435,-82.8395
39,Solar Pro,8.443626,-82.84011
40,El Fraile Solar I,8.5226,-80.5855
41,Corotú Solar,8.528,-82.5797
42,Rodeo Solar,8.536,-80.0023
43,Estí Solar I,8.546,-82.2994
44,Coclé Solar 1,8.6144,-80.4447
45,PV Madre Vieja,8.65186,-82.83092
46,Mendozas Solar,9.0163,-79.8749
47,Planta solar pacora 2,9.070094,-79.238693
48,planta de paneles solares,9.109135,-79.271299
49,Parque Fotovoltaico San Juan,9.2708,-79.9963
